Mar 27 \'15,COLUMBUS,5,CHICAGO,2,,S. Bobrovsky,K. Connauton,27,0,1,10,33,0,5,2,"22,187"
Mar 27 \'15,CALGARY,2,MINNESOTA,4,,D. Dubnyk,M. Koivu,25,0,2,2,36,1,1,4,"19,040"
Mar 26 \'15,NASHVILLE,3,TAMPA BAY,2,,P. Rinne,M. Santorelli,19,0,5,10,30,0,5,12,"19,204"
Mar 26 \'15,SAN JOSE,6,DETROIT,4,,A. Niemi,P. Marleau,30,0,1,10,34,0,4,4,"20,027"
Mar 26 \'15,NY RANGERS,5,OTTAWA,1,,C. Talbot,D. Boyle,32,0,0,14,24,0,6,2,"17,753"
Mar 26 \'15,FLORIDA,4,TORONTO,1,,R. Luongo,S. Kampfer,28,0,1,10,25,0,3,16,"18,831"
Mar 26 \'15,COLORADO,4,VANCOUVER,1,,R. Berra,A. Tanguay,38,2,5,13,34,1,4,15,"18,870"
Mar 26 \'15,MONTREAL,2,WINNIPEG,5,,O. Pavelec,J. Slater,41,0,4,11,22,0,1,17,"15,016"
Mar 26 \'15,PITTSBURGH,2,CAROLINA,5,,C. Ward,J. McClement,29,0,3,10,28,1,3,8,"13,738"
Mar 26 \'15,NEW JERSEY,2,WASHINGTON,3,OT,B. Holtby,E. Kuznetsov,31,0,1,8,24,0,1,8,"18,506"
Mar 26 \'15,LOS ANGELES,3,NY ISLANDERS,2,,J. Quick,A. Kopitar,37,0,2,4,27,1,2,4,"16,170"
Mar 26 \'15,ARIZONA,4,BUFFALO,3,OT,M. Smith,S. Gagner,42,1,5,10,35,2,5,10,"19,070"
Mar 26 \'15,ANAHEIM,3,BOSTON,2,OT,F. Andersen,R. Getzlaf,32,0,2,12,29,2,4,8,"17,565"
Mar 25 \'15,DALLAS,4,CALGARY,3,SO,K. Lehtonen,T. Seguin,30,1,7,8,34,0,4,14,"19,289"
Mar 25 \'15,CHICAGO,1,PHILADELPHIA,4,,S. Mason,R. White,35,1,2,9,33,1,2,9,"19,831"
Mar 25 \'15,COLORADO,3,EDMONTON,4,,B. Scrivens,D. Roy,44,1,5,2,34,1,1,10,"16,839"
Mar 24 \'15,FLORIDA,3,TAMPA BAY,4,,A. Vasilevskiy,R. Callahan,36,0,2,0,25,0,0,4,"18,729"
Mar 24 \'15,ARIZONA,5,DETROIT,4,OT,M. Smith,M. Arcobello,22,2,5,10,37,1,5,10,"20,027"
Mar 24 \'15,WINNIPEG,2,VANCOUVER,5,,E. Lack,R. Vrbata,28,0,2,2,30,1,1,4,"18,870"
Mar 24 \'15,MONTREAL,2,NASHVILLE,3,OT,P. Rinne,F. Forsberg,29,0,1,8,31,1,4,2,"17,113"
Mar 24 \'15,ANAHEIM,3,COLUMBUS,5,,S. Bobrovsky,N. Foligno,40,1,5,18,27,1,3,22,"14,044"
Mar 24 \'15,ST LOUIS,3,PITTSBURGH,2,OT,J. Allen,A. Steen,35,0,0,13,26,0,3,7,"18,631"
Mar 24 \'15,LOS ANGELES,4,NY RANGERS,2,,J. Quick,J. Carter,35,0,2,2,36,0,1,4,"18,006"
Mar 24 \'15,MINNESOTA,2,NY ISLANDERS,1,SO,D. Dubnyk,Z. Parise,32,0,1,2,38,0,1,2,"16,170"
Mar 23 \'15,WINNIPEG,4,EDMONTON,1,,O. Pavelec,L. Stempniak,24,2,4,10,34,0,4,10,"16,839"
Mar 23 \'15,BUFFALO,3,DALLAS,4,,K. Lehtonen,C. Eakin,28,1,3,6,39,1,3,6,"18,113"
Mar 23 \'15,SAN JOSE,2,OTTAWA,5,,A. Hammond,A. Chiasson,31,1,1,2,37,0,1,2,"18,193"
Mar 23 \'15,MINNESOTA,2,TORONTO,1,,D. Dubnyk,T. Vanek,32,0,3,13,36,0,4,11,"18,366"
Mar 23 \'15,COLORADO,2,CALGARY,3,,K. Ramo,L. Bouma,27,0,3,2,26,0,1,6,"18,613"
Mar 23 \'15,CHICAGO,3,CAROLINA,1,,C. Crawford,P. Sharp,25,0,0,2,44,0,1,0,"13,786"
Mar 23 \'15,LOS ANGELES,3,NEW JERSEY,1,,J. Quick,T. Toffoli,33,1,3,4,20,0,1,8,"15,721"
Mar 22 \'15,ANAHEIM,2,NY RANGERS,7,,C. Talbot,C. Hagelin,38,0,1,6,29,1,2,4,"18,006"
Mar 22 \'15,VANCOUVER,3,ARIZONA,1,,J. Markstrom,A. Edler,44,1,2,2,27,0,1,4,"12,405"
Mar 22 \'15,BOSTON,3,TAMPA BAY,5,,B. Bishop,J. Garrison,28,1,2,9,19,1,1,11,"19,204"
Mar 22 \'15,ST LOUIS,1,DETROIT,2,OT,J. Howard,J. Abdelkader,24,1,4,27,25,1,6,23,"20,027"
Mar 21 \'15,PHILADELPHIA,4,EDMONTON,5,OT,B. Scrivens,R. Nugent-Hopkins,31,1,4,8,34,0,4,8,"16,839"
Mar 21 \'15,CHICAGO,0,DALLAS,4,,K. Lehtonen,P. Eaves,33,0,2,6,29,2,3,4,"18,532"
Mar 21 \'15,BUFFALO,0,NASHVILLE,3,,P. Rinne,T. Beck,24,0,4,2,43,1,1,8,"17,113"
Mar 21 \'15,NY RANGERS,3,CAROLINA,2,SO,C. Talbot,M. Zuccarello,29,0,2,4,30,1,2,4,"13,404"
Mar 21 \'15,NY ISLANDERS,3,NEW JERSEY,0,,J. Halak,R. Strome,30,0,1,2,26,0,1,2,"16,592"
Mar 21 \'15,BOSTON,1,FLORIDA,2,SO,R. Luongo,B. Pirri,27,1,3,6,25,0,3,6,"17,044"
Mar 21 \'15,TORONTO,3,OTTAWA,5,,A. Hammond,K. Turris,25,0,1,20,41,1,5,12,"19,194"
Mar 21 \'15,SAN JOSE,0,MONTREAL,2,,C. Price,T. Plekanec,29,0,2,2,29,0,0,6,"21,286"
Mar 21 \'15,PITTSBURGH,3,ARIZONA,1,,M. Fleury,D. Winnik,37,1,4,8,31,0,3,10,"15,581"
Mar 21 \'15,WASHINGTON,0,WINNIPEG,3,,O. Pavelec,M. Stuart,28,0,3,8,24,0,3,8,"15,016"
Mar 21 \'15,COLUMBUS,3,CALGARY,2,OT,S. Bobrovsky,R. Bourque,26,0,0,21,40,1,5,11,"19,289"
Mar 21 \'15,VANCOUVER,4,LOS ANGELES,1,,E. Lack,R. Vrbata,42,1,3,8,26,1,3,21,"18,230"
Mar 21 \'15,ST LOUIS,3,MINNESOTA,6,,D. Dubnyk,J. Brodin,29,2,4,8,28,1,4,8,"19,204"
Mar 20 \'15,DETROIT,1,TAMPA BAY,3,,B. Bishop,A. Killorn,31,1,3,8,32,0,3,8,"19,204"
Mar 20 \'15,COLORADO,2,ANAHEIM,3,OT,F. Andersen,C. Perry,24,0,1,6,40,0,3,2,"17,313"
Mar 20 \'15,NEW JERSEY,3,BUFFALO,1,,K. Kinkaid,S. Bernier,27,0,2,8,29,1,4,4,"19,070"
Mar 19 \'15,PITTSBURGH,1,DALLAS,2,,K. Lehtonen,J. Benn,32,1,4,14,26,0,4,14,"18,532"
Mar 19 \'15,DETROIT,1,FLORIDA,3,,R. Luongo,B. Pirri,27,0,2,6,32,0,3,4,"11,458"
Mar 19 \'15,BOSTON,4,OTTAWA,6,,A. Hammond,B. Ryan,35,1,3,6,32,0,3,6,"19,270"
Mar 19 \'15,CAROLINA,0,MONTREAL,4,,C. Price,D. Weise,31,0,1,4,22,0,1,4,"21,286"
Mar 19 \'15,SAN JOSE,4,TORONTO,1,,A. Niemi,L. Couture,42,1,5,6,28,0,2,12,"18,926"
Mar 19 \'15,COLORADO,5,ARIZONA,2,,S. Varlamov,F. Hamilton,29,0,2,2,30,0,1,4,"11,684"
Mar 19 \'15,COLUMBUS,6,VANCOUVER,2,,S. Bobrovsky,C. Atkinson,33,1,1,9,40,0,2,7,"18,668"
Mar 19 \'15,PHILADELPHIA,1,CALGARY,4,,K. Ramo,T. Brodie,27,0,2,10,26,2,4,6,"19,289"
Mar 19 \'15,ST LOUIS,1,WINNIPEG,2,SO,O. Pavelec,A. Ladd,33,0,3,8,34,0,2,10,"15,016"
Mar 19 \'15,WASHINGTON,3,MINNESOTA,2,,B. Holtby,A. Ovechkin,27,0,4,10,30,1,3,12,"19,044"
