Team,Game,Opp Team,GP,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Detroit Red Wings,2013/02/21  vs. CBJ,CBJ,1,32,39,-7,4,-10,-1,-10,24,27,-3,2,-4,-1,-5
New York Islanders,2013/01/29  vs. PIT,PIT,1,40,58,-18,3,-21,0,1,26,49,-23,-4,-19,0,-6
Pittsburgh Penguins,2013/02/26  vs. FLA,FLA,1,49,39,10,-2,0,12,-1,39,28,11,-2,0,13,0
Toronto Maple Leafs,2013/02/23  vs. OTT,OTT,1,50,64,-14,-5,-6,-3,-12,34,42,-8,-4,-3,-1,-8
Ottawa Senators,2013/02/09  vs. WPG,WPG,1,67,50,17,1,0,16,1,48,43,5,-7,0,12,-7
Florida Panthers,2013/04/13  vs. PIT,PIT,1,43,34,9,0,0,9,2,28,26,2,2,0,0,-1
Dallas Stars,2013/01/19  vs. PHX,PHX,1,49,49,0,-1,0,1,5,37,37,0,0,0,0,3
Toronto Maple Leafs,2013/02/28  vs. NYI,NYI,1,51,52,-1,7,-6,-2,3,37,36,1,6,-4,-1,3
St. Louis Blues,2013/03/28  vs. LAK,LAK,1,32,61,-29,-22,0,-7,-28,23,45,-22,-15,0,-7,-20
Boston Bruins,2013/04/08  vs. CAR,CAR,1,51,66,-15,-5,-10,0,-10,39,51,-12,-7,-5,0,-11
Dallas Stars,2013/01/22  vs. DET,DET,1,37,44,-7,-3,-4,0,0,27,36,-9,-2,-7,0,-1
Boston Bruins,2013/03/05  vs. WSH,WSH,1,58,56,2,-1,3,0,0,40,39,1,-3,4,0,-3
Buffalo Sabres,2013/02/03  vs. FLA,FLA,1,39,45,-6,-5,-2,1,-9,28,34,-6,-5,-2,1,-11
Toronto Maple Leafs,2013/01/31  vs. WSH,WSH,1,55,38,17,2,-4,19,13,42,26,16,6,-2,12,12
New York Islanders,2013/03/16  vs. FLA,FLA,1,48,60,-12,-4,-8,0,-3,31,44,-13,-4,-9,0,-2
Carolina Hurricanes,2013/04/27  vs. PIT,PIT,1,49,51,-2,2,0,-4,3,36,43,-7,1,0,-8,-1
Ottawa Senators,2013/03/28  vs. NYR,NYR,1,45,44,1,9,-8,0,8,29,28,1,7,-6,0,5
Buffalo Sabres,2013/03/26  vs. TBL,TBL,1,34,26,8,5,0,3,0,22,24,-2,2,0,-4,-5
Montreal Canadiens,2013/01/29  vs. WPG,WPG,1,33,24,9,12,-4,1,11,27,12,15,11,3,1,16
Ottawa Senators,2013/02/07  vs. CAR,CAR,1,63,36,27,17,10,0,31,45,26,19,9,10,0,21
Boston Bruins,2013/03/23  vs. TOR,TOR,1,70,30,40,-1,0,41,15,43,21,22,0,0,22,8
Philadelphia Flyers,2013/04/04  vs. TOR,TOR,1,42,59,-17,-5,-11,-1,-7,33,41,-8,-4,-3,-1,-5
Buffalo Sabres,2013/04/23  vs. PIT,PIT,1,49,61,-12,-15,3,0,-12,36,42,-6,-7,1,0,-5
Philadelphia Flyers,2013/04/20  vs. CAR,CAR,1,52,46,6,13,-7,0,12,47,37,10,13,-3,0,15
Vancouver Canucks,2013/03/23  vs. LAK,LAK,1,19,40,-21,-2,-19,0,-15,16,31,-15,-2,-13,0,-8
Boston Bruins,2013/03/31  vs. BUF,BUF,1,52,42,10,9,1,0,9,39,32,7,5,2,0,5
Winnipeg Jets,2013/01/25  vs. PIT,PIT,1,50,65,-15,-9,-5,-1,-14,41,48,-7,-9,1,1,-11
Colorado Avalanche,2013/01/31  vs. CGY,CGY,1,30,57,-27,-17,-2,-8,-28,26,40,-14,-7,0,-7,-15
Chicago Blackhawks,2013/03/29  vs. ANA,ANA,1,37,33,4,1,0,3,6,29,25,4,2,0,2,5
Dallas Stars,2013/03/21  vs. LAK,LAK,1,37,49,-12,-13,1,0,-13,27,43,-16,-17,1,0,-17
Ottawa Senators,2013/04/25  vs. WSH,WSH,1,45,31,14,3,11,0,6,36,23,13,2,11,0,6
Tampa Bay Lightning,2013/03/09  vs. MTL,MTL,1,37,44,-7,-4,2,-5,-5,25,36,-11,-5,-2,-4,-6
Florida Panthers,2013/03/14  vs. BOS,BOS,1,45,50,-5,5,0,-10,-2,33,40,-7,4,0,-11,0
Florida Panthers,2013/03/10  vs. MTL,MTL,1,30,42,-12,-4,0,-8,-6,22,38,-16,-3,0,-13,-6
Boston Bruins,2013/04/21  vs. FLA,FLA,1,55,45,10,0,10,0,3,43,37,6,0,6,0,1
New York Islanders,2013/04/16  vs. FLA,FLA,1,41,51,-10,9,-19,0,12,35,33,2,6,-4,0,9
Nashville Predators,2013/04/25  vs. DET,DET,1,25,50,-25,-10,-9,-6,-19,22,41,-19,-7,-7,-5,-14
Phoenix Coyotes,2013/04/26  vs. COL,COL,1,41,34,7,2,-1,6,4,32,23,9,1,0,8,6
Washington Capitals,2013/03/21  vs. WPG,WPG,1,35,41,-6,0,-6,0,1,21,26,-5,0,-5,0,-1
San Jose Sharks,2013/04/11  vs. DET,DET,1,34,41,-7,-5,-3,1,-8,29,28,1,-1,1,1,0
St. Louis Blues,2013/02/05  vs. NSH,NSH,1,37,28,9,-1,0,10,-1,25,23,2,-1,0,3,-1
Toronto Maple Leafs,2013/01/29  vs. BUF,BUF,1,34,50,-16,-9,-4,-3,-12,24,37,-13,-8,-3,-2,-10
Philadelphia Flyers,2013/04/06  vs. WPG,WPG,1,48,53,-5,-3,-3,1,-7,35,37,-2,-4,2,0,-3
Chicago Blackhawks,2013/02/12  vs. ANA,ANA,1,31,34,-3,0,-3,0,3,26,22,4,5,0,-1,6
Toronto Maple Leafs,2013/04/18  vs. NYI,NYI,1,48,52,-4,-5,-8,9,-20,29,43,-14,-5,-8,-1,-17
Calgary Flames,2013/04/06  vs. VAN,VAN,1,52,33,19,0,0,19,8,40,24,16,0,0,16,8
Florida Panthers,2013/02/12  vs. WSH,WSH,1,36,48,-12,-6,-6,0,-2,28,35,-7,-6,0,-1,-2
Los Angeles Kings,2013/02/15  vs. CBJ,CBJ,1,31,19,12,10,2,0,10,26,14,12,11,1,0,11
Toronto Maple Leafs,2013/02/16  vs. OTT,OTT,1,42,52,-10,-1,-9,0,-7,34,37,-3,-1,-2,0,-4
Florida Panthers,2013/02/18  vs. TOR,TOR,1,49,37,12,8,0,4,13,42,31,11,10,0,1,13
Ottawa Senators,2013/01/25  vs. TBL,TBL,1,53,48,5,4,-1,2,0,38,36,2,2,1,-1,0
Nashville Predators,2013/04/07  vs. CHI,CHI,1,33,60,-27,-10,1,-18,-24,23,44,-21,-7,3,-17,-18
Montreal Canadiens,2013/03/02  vs. PIT,PIT,1,52,50,2,-1,-4,7,3,40,39,1,0,-3,4,2
New York Rangers,2013/03/21  vs. FLA,FLA,1,68,35,33,2,0,31,6,47,29,18,-1,0,19,3
Tampa Bay Lightning,2013/03/23  vs. OTT,OTT,1,44,43,1,-2,0,3,-3,31,32,-1,-1,0,0,-3
Vancouver Canucks,2013/04/22  vs. CHI,CHI,1,40,37,3,9,-6,0,4,29,26,3,5,-2,0,4
Ottawa Senators,2013/04/18  vs. WSH,WSH,1,59,31,28,17,11,0,25,46,23,23,13,10,0,23
New York Rangers,2013/04/10  vs. TOR,TOR,1,49,35,14,3,10,1,11,33,29,4,-2,7,-1,1
Los Angeles Kings,2013/02/25  vs. ANA,ANA,1,55,32,23,12,9,2,14,39,24,15,9,4,2,11
Winnipeg Jets,2013/02/23  vs. PHI,PHI,1,41,47,-6,0,-9,3,-8,32,35,-3,1,-7,3,-5
Montreal Canadiens,2013/04/20  vs. WSH,WSH,1,48,43,5,2,0,3,-1,33,27,6,5,0,1,2
Pittsburgh Penguins,2013/03/04  vs. TBL,TBL,1,42,51,-9,-13,5,-1,-12,29,38,-9,-11,6,-4,-12
New Jersey Devils,2013/03/15  vs. PHI,PHI,1,27,23,4,0,0,4,4,21,16,5,4,0,1,5
Edmonton Oilers,2013/02/28  vs. DAL,DAL,1,34,49,-15,1,-16,0,-11,27,34,-7,1,-8,0,-10
Los Angeles Kings,2013/01/24  vs. EDM,EDM,1,34,24,10,9,1,0,6,24,17,7,6,1,0,4
Montreal Canadiens,2013/01/30  vs. OTT,OTT,1,45,37,8,-1,-1,10,-2,29,27,2,-5,-1,8,-6
New York Rangers,2013/03/16  vs. PIT,PIT,1,39,50,-11,-1,0,-10,-5,26,37,-11,-1,0,-10,-9
Buffalo Sabres,2013/02/23  vs. NYI,NYI,1,38,48,-10,-11,0,1,-13,30,39,-9,-11,0,2,-13
Philadelphia Flyers,2013/02/01  vs. WSH,WSH,1,51,34,17,4,7,6,11,33,25,8,4,4,0,8
Los Angeles Kings,2013/04/06  vs. EDM,EDM,1,49,32,17,1,16,0,4,38,24,14,-1,15,0,1
Washington Capitals,2013/04/07  vs. TBL,TBL,1,52,48,4,4,-3,3,9,42,33,9,3,0,6,11
Vancouver Canucks,2013/02/19  vs. CHI,CHI,1,33,44,-11,-2,1,-10,-3,22,35,-13,0,-3,-10,-4
Phoenix Coyotes,2013/04/04  vs. DET,DET,1,35,43,-8,4,2,-14,-5,30,34,-4,4,-2,-6,2
Anaheim Ducks,2013/03/29  vs. CHI,CHI,1,33,37,-4,-1,-3,0,-6,25,29,-4,-2,-2,0,-5
Colorado Avalanche,2013/03/24  vs. VAN,VAN,1,36,46,-10,-4,0,-6,-5,26,33,-7,-4,0,-3,-3
New Jersey Devils,2013/02/18  vs. OTT,OTT,1,33,35,-2,1,-3,0,-3,27,33,-6,0,-6,0,-5
New York Rangers,2013/02/21  vs. OTT,OTT,1,46,47,-1,1,-3,1,-8,34,35,-1,2,-3,0,-3
Anaheim Ducks,2013/04/13  vs. LAK,LAK,1,33,47,-14,0,0,-14,-11,27,36,-9,3,0,-12,-7
Minnesota Wild,2013/04/27  vs. COL,COL,1,36,49,-13,-7,-6,0,2,31,37,-6,-5,-1,0,6
Anaheim Ducks,2013/03/08  vs. CGY,CGY,1,41,64,-23,2,-25,0,-27,30,46,-16,0,-16,0,-20
Washington Capitals,2013/03/12  vs. CAR,CAR,1,43,53,-10,-4,0,-6,-11,33,34,-1,-1,0,0,-3
Phoenix Coyotes,2013/04/27  vs. ANA,ANA,1,50,60,-10,-5,-5,0,3,36,49,-13,-9,-4,0,-1
Boston Bruins,2013/04/13  vs. CAR,CAR,1,54,59,-5,2,-9,2,-9,39,47,-8,-1,-7,0,-11
Nashville Predators,2013/01/28  vs. PHX,PHX,1,40,36,4,1,0,3,2,30,29,1,0,0,1,1
San Jose Sharks,2013/04/15  vs. PHX,PHX,1,54,57,-3,7,-10,0,7,43,47,-4,2,-6,0,2
Pittsburgh Penguins,2013/03/10  vs. NYI,NYI,1,40,38,2,0,2,0,4,27,30,-3,2,-5,0,4
Ottawa Senators,2013/03/03  vs. NYI,NYI,1,42,56,-14,-5,0,-9,-11,31,38,-7,0,0,-7,-5
St. Louis Blues,2013/03/14  vs. PHX,PHX,1,42,43,-1,5,-6,0,1,33,31,2,7,-5,0,3
Philadelphia Flyers,2013/01/20  vs. BUF,BUF,1,25,40,-15,-2,-5,-8,-12,24,28,-4,5,-4,-5,-1
Tampa Bay Lightning,2013/02/07  vs. NJD,NJD,1,20,32,-12,-12,0,0,-14,15,27,-12,-9,0,-3,-13
Dallas Stars,2013/02/25  vs. NSH,NSH,1,40,28,12,7,7,-2,6,26,22,4,2,4,-2,1
Edmonton Oilers,2013/04/13  vs. CGY,CGY,1,40,49,-9,-5,0,-4,-10,33,34,-1,-3,0,2,-7
Anaheim Ducks,2013/02/04  vs. SJS,SJS,1,39,42,-3,-2,2,-3,-1,29,26,3,2,4,-3,3
Buffalo Sabres,2013/04/19  vs. NYR,NYR,1,45,43,2,-7,0,9,-6,30,33,-3,-3,0,0,-3
Columbus Blue Jackets,2013/04/13  vs. MIN,MIN,1,33,48,-15,-7,-12,4,-9,21,39,-18,-7,-11,0,-11
Nashville Predators,2013/02/16  vs. ANA,ANA,1,47,41,6,2,4,0,6,34,27,7,5,2,0,7
Anaheim Ducks,2013/03/25  vs. SJS,SJS,1,52,40,12,2,0,10,5,34,36,-2,1,0,-3,5
Phoenix Coyotes,2013/04/08  vs. VAN,VAN,1,38,51,-13,-7,0,-6,-17,30,41,-11,-4,0,-7,-12
New Jersey Devils,2013/02/23  vs. WSH,WSH,1,35,32,3,-1,0,4,3,25,25,0,-4,0,4,-2
San Jose Sharks,2013/01/24  vs. PHX,PHX,1,47,45,2,-3,-6,11,-7,33,30,3,0,-5,8,-3
Calgary Flames,2013/02/24  vs. PHX,PHX,1,40,31,9,-5,6,8,4,33,27,6,-6,6,6,2
Winnipeg Jets,2013/03/08  vs. FLA,FLA,1,43,46,-3,2,-5,0,0,28,39,-11,-5,-6,0,-8
Detroit Red Wings,2013/02/02  vs. CBJ,CBJ,1,43,26,17,4,3,10,14,34,22,12,4,3,5,13
Toronto Maple Leafs,2013/02/25  vs. PHI,PHI,1,39,40,-1,-4,3,0,-3,27,32,-5,-7,2,0,-5
Toronto Maple Leafs,2013/01/24  vs. NYI,NYI,1,48,45,3,-1,6,-2,5,35,39,-4,-2,5,-7,3
Vancouver Canucks,2013/04/20  vs. DET,DET,1,22,41,-19,-15,-4,0,-19,13,32,-19,-17,-2,0,-19
Tampa Bay Lightning,2013/01/27  vs. PHI,PHI,1,31,48,-17,0,-18,1,2,25,29,-4,1,-6,1,3
Philadelphia Flyers,2013/01/19  vs. PIT,PIT,1,36,44,-8,-1,0,-7,6,26,35,-9,-1,0,-8,2
Detroit Red Wings,2013/03/07  vs. EDM,EDM,1,57,39,18,3,15,0,10,39,26,13,4,9,0,8
St. Louis Blues,2013/03/07  vs. PHX,PHX,1,37,39,-2,1,-5,2,0,31,24,7,3,2,2,7
Montreal Canadiens,2013/02/27  vs. TOR,TOR,1,60,50,10,14,-2,-2,12,43,35,8,11,-1,-2,8
Chicago Blackhawks,2013/02/07  vs. PHX,PHX,1,42,40,2,4,-2,0,6,32,27,5,6,-1,0,6
Phoenix Coyotes,2013/03/06  vs. ANA,ANA,1,47,34,13,-5,0,18,-2,31,23,8,-5,0,13,-5
St. Louis Blues,2013/03/26  vs. EDM,EDM,1,54,33,21,5,0,16,11,46,24,22,4,0,18,8
St. Louis Blues,2013/04/01  vs. MIN,MIN,1,46,36,10,9,1,0,23,30,27,3,6,-3,0,15
Los Angeles Kings,2013/01/31  vs. NSH,NSH,1,49,24,25,22,0,3,25,29,17,12,10,0,2,12
New Jersey Devils,2013/03/16  vs. MTL,MTL,1,46,29,17,9,0,8,16,32,24,8,5,0,3,9
Tampa Bay Lightning,2013/04/14  vs. BUF,BUF,1,47,33,14,-1,0,15,5,40,25,15,-2,0,17,7
Montreal Canadiens,2013/03/26  vs. PIT,PIT,1,60,35,25,14,0,11,18,44,23,21,12,0,9,16
Los Angeles Kings,2013/03/30  vs. MIN,MIN,1,44,39,5,2,3,0,9,36,31,5,3,2,0,7
Buffalo Sabres,2013/03/23  vs. MTL,MTL,1,22,70,-48,-32,-16,0,-34,16,45,-29,-22,-7,0,-21
New Jersey Devils,2013/03/07  vs. BUF,BUF,1,44,38,6,-5,0,11,-2,36,30,6,-3,0,9,0
New York Islanders,2013/03/10  vs. PIT,PIT,1,38,40,-2,0,0,-2,-4,30,27,3,-2,0,5,-4
Ottawa Senators,2013/02/13  vs. PIT,PIT,1,52,35,17,9,4,4,13,33,28,5,1,4,0,4
Colorado Avalanche,2013/02/26  vs. SJS,SJS,1,46,45,1,1,0,0,-1,34,32,2,0,0,2,-1
Carolina Hurricanes,2013/03/09  vs. NJD,NJD,1,32,51,-19,4,-23,0,3,26,37,-11,2,-13,0,1
Florida Panthers,2013/01/29  vs. TBL,TBL,1,37,32,5,4,0,1,1,27,29,-2,3,0,-5,0
Los Angeles Kings,2013/04/07  vs. ANA,ANA,1,61,25,36,15,0,21,18,39,21,18,10,0,8,8
Nashville Predators,2013/04/06  vs. CHI,CHI,1,38,52,-14,-2,0,-12,-8,27,38,-11,1,0,-12,-8
New York Rangers,2013/02/26  vs. WPG,WPG,1,48,39,9,-8,0,17,-12,34,29,5,-4,0,9,-7
Columbus Blue Jackets,2013/02/11  vs. SJS,SJS,1,42,32,10,1,9,0,5,34,27,7,0,7,0,-1
Nashville Predators,2013/04/23  vs. CGY,CGY,1,60,32,28,19,11,-2,17,44,26,18,15,6,-3,12
Winnipeg Jets,2013/02/09  vs. OTT,OTT,1,50,67,-17,-1,-16,0,-1,43,48,-5,7,-12,0,7
Anaheim Ducks,2013/03/12  vs. MIN,MIN,1,33,45,-12,-7,1,-6,-12,24,27,-3,0,2,-5,-2
Pittsburgh Penguins,2013/01/29  vs. NYI,NYI,1,58,40,18,-3,0,21,-1,49,26,23,4,0,19,6
Winnipeg Jets,2013/04/02  vs. NYI,NYI,1,45,64,-19,-16,-1,-2,-20,30,49,-19,-12,-1,-6,-15
Dallas Stars,2013/02/12  vs. EDM,EDM,1,43,39,4,7,2,-5,2,33,31,2,5,4,-7,-2
Detroit Red Wings,2013/04/05  vs. COL,COL,1,45,54,-9,-2,-7,0,-3,29,33,-4,-4,0,0,0
Boston Bruins,2013/03/16  vs. WSH,WSH,1,46,44,2,1,1,0,2,39,35,4,0,4,0,1
Pittsburgh Penguins,2013/01/23  vs. TOR,TOR,1,40,29,11,10,-4,5,5,31,19,12,11,-3,4,7
Buffalo Sabres,2013/02/07  vs. MTL,MTL,1,38,37,1,1,0,0,-1,31,30,1,1,0,0,-1
Minnesota Wild,2013/04/26  vs. EDM,EDM,1,66,37,29,-1,0,30,5,48,27,21,-1,0,22,3
Minnesota Wild,2013/01/29  vs. CBJ,CBJ,1,35,39,-4,-9,5,0,-1,28,28,0,-5,5,0,4
Carolina Hurricanes,2013/02/21  vs. WPG,WPG,1,46,46,0,-2,0,2,0,36,29,7,7,0,0,7
Carolina Hurricanes,2013/04/16  vs. OTT,OTT,1,50,37,13,6,0,7,3,35,30,5,6,0,-1,2
Minnesota Wild,2013/02/01  vs. ANA,ANA,1,38,57,-19,-14,-2,-3,-16,28,38,-10,-8,1,-3,-7
New York Islanders,2013/02/21  vs. MTL,MTL,1,45,45,0,5,0,-5,0,25,31,-6,5,0,-11,-2
Nashville Predators,2013/02/07  vs. LAK,LAK,1,19,57,-38,-1,-37,0,-14,15,39,-24,0,-24,0,-7
San Jose Sharks,2013/03/10  vs. COL,COL,1,39,49,-10,0,0,-10,-2,33,40,-7,-1,0,-6,-1
Nashville Predators,2013/04/14  vs. DET,DET,1,35,62,-27,-12,0,-15,-19,24,42,-18,-8,0,-10,-14
Phoenix Coyotes,2013/02/18  vs. CGY,CGY,1,68,47,21,1,20,0,14,52,37,15,1,14,0,8
Montreal Canadiens,2013/02/02  vs. BUF,BUF,1,41,36,5,14,-9,0,12,31,27,4,12,-8,0,11
Washington Capitals,2013/01/29  vs. OTT,OTT,1,36,33,3,-3,5,1,-2,29,25,4,-2,5,1,-2
Chicago Blackhawks,2013/04/01  vs. NSH,NSH,1,47,40,7,8,-1,0,20,32,30,2,4,-2,0,10
Minnesota Wild,2013/02/04  vs. PHX,PHX,1,43,56,-13,-9,0,-4,-10,31,43,-12,-5,0,-7,-4
Anaheim Ducks,2013/03/16  vs. STL,STL,1,42,38,4,8,-4,0,4,26,28,-2,2,-4,0,-2
Florida Panthers,2013/04/21  vs. BOS,BOS,1,45,55,-10,0,0,-10,-3,37,43,-6,0,0,-6,-1
Buffalo Sabres,2013/03/28  vs. FLA,FLA,1,39,42,-3,-1,-4,2,1,34,36,-2,0,-4,2,2
Carolina Hurricanes,2013/04/06  vs. NYR,NYR,1,67,35,32,6,0,26,4,50,30,20,2,0,18,0
Carolina Hurricanes,2013/02/26  vs. WSH,WSH,1,57,61,-4,-4,0,0,-9,40,47,-7,-2,0,-5,-4
San Jose Sharks,2013/02/26  vs. COL,COL,1,45,46,-1,-1,0,0,1,32,34,-2,0,-2,0,1
Ottawa Senators,2013/03/11  vs. BOS,BOS,1,36,46,-10,-15,5,0,-6,31,36,-5,-12,7,0,-2
Chicago Blackhawks,2013/04/20  vs. PHX,PHX,1,46,39,7,8,0,-1,7,34,27,7,7,0,0,7
Washington Capitals,2013/03/07  vs. FLA,FLA,1,40,56,-16,-5,-11,0,-4,30,37,-7,-5,-2,0,-3
Winnipeg Jets,2013/03/19  vs. BOS,BOS,1,41,47,-6,3,2,-11,-2,28,34,-6,0,1,-7,-3
Montreal Canadiens,2013/03/07  vs. CAR,CAR,1,33,52,-19,-1,-18,0,-3,24,40,-16,0,-16,0,-2
Detroit Red Wings,2013/03/15  vs. EDM,EDM,1,38,40,-2,-1,0,-1,-5,25,33,-8,-5,0,-3,-11
Winnipeg Jets,2013/03/24  vs. TBL,TBL,1,40,38,2,-5,7,0,-5,27,29,-2,-5,3,0,-4
Colorado Avalanche,2013/03/20  vs. DAL,DAL,1,41,50,-9,4,1,-14,-8,34,33,1,3,2,-4,-1
New York Rangers,2013/02/05  vs. NJD,NJD,1,34,27,7,3,0,4,2,27,22,5,2,0,3,0
Edmonton Oilers,2013/03/12  vs. COL,COL,1,41,49,-8,-2,-6,0,-3,39,40,-1,0,-1,0,0
Boston Bruins,2013/03/19  vs. WPG,WPG,1,47,41,6,-3,11,-2,2,34,28,6,0,7,-1,3
Anaheim Ducks,2013/04/08  vs. EDM,EDM,1,50,38,12,3,9,0,12,34,33,1,-4,5,0,3
Detroit Red Wings,2013/04/14  vs. NSH,NSH,1,62,35,27,12,15,0,19,42,24,18,8,10,0,14
Buffalo Sabres,2013/04/07  vs. NJD,NJD,1,29,44,-15,0,-15,0,-12,19,29,-10,1,-11,0,-8
Philadelphia Flyers,2013/03/13  vs. NJD,NJD,1,27,42,-15,-4,0,-11,-5,19,32,-13,-3,0,-10,-3
Colorado Avalanche,2013/03/14  vs. MIN,MIN,1,49,53,-4,-4,0,0,-6,36,40,-4,-3,0,-1,-7
Buffalo Sabres,2013/04/05  vs. OTT,OTT,1,38,45,-7,-4,-1,-2,-7,32,35,-3,0,-1,-2,-2
Columbus Blue Jackets,2013/02/07  vs. CGY,CGY,1,26,45,-19,-10,-8,-1,-19,21,32,-11,-3,-7,-1,-11
St. Louis Blues,2013/01/24  vs. NSH,NSH,1,27,25,2,4,-2,0,8,19,16,3,4,-1,0,7
Calgary Flames,2013/02/26  vs. MIN,MIN,1,14,31,-17,1,-18,0,-12,11,20,-9,2,-11,0,-6
Columbus Blue Jackets,2013/02/16  vs. PHX,PHX,1,41,32,9,-2,0,11,4,23,24,-1,-5,1,3,-1
Dallas Stars,2013/04/27  vs. DET,DET,1,40,61,-21,-13,0,-8,-14,24,48,-24,-14,0,-10,-21
Boston Bruins,2013/04/23  vs. PHI,PHI,1,61,44,17,4,0,13,5,43,34,9,3,0,6,3
Washington Capitals,2013/03/09  vs. NYI,NYI,1,41,44,-3,9,0,-12,0,27,35,-8,8,0,-16,-4
Ottawa Senators,2013/03/06  vs. TOR,TOR,1,81,49,32,9,0,23,10,59,37,22,6,0,16,6
Calgary Flames,2013/03/21  vs. NSH,NSH,1,43,32,11,1,-1,11,-1,27,24,3,-1,0,4,-3
Phoenix Coyotes,2013/04/02  vs. LAK,LAK,1,49,51,-2,-7,5,0,-5,41,43,-2,-8,6,0,-6
Anaheim Ducks,2013/03/06  vs. PHX,PHX,1,34,47,-13,5,-18,0,2,23,31,-8,5,-13,0,5
Dallas Stars,2013/01/29  vs. DET,DET,1,32,32,0,5,-2,-3,3,25,27,-2,0,-1,-1,-1
Montreal Canadiens,2013/01/27  vs. NJD,NJD,1,45,28,17,0,17,0,10,34,24,10,-1,11,0,4
Ottawa Senators,2013/01/29  vs. WSH,WSH,1,33,36,-3,3,-1,-5,2,25,29,-4,2,-1,-5,2
Carolina Hurricanes,2013/01/22  vs. TBL,TBL,1,51,28,23,2,0,21,7,37,22,15,0,0,15,3
Buffalo Sabres,2013/02/26  vs. TBL,TBL,1,34,38,-4,3,-4,-3,0,27,31,-4,0,-3,-1,-1
Detroit Red Wings,2013/03/09  vs. CBJ,CBJ,1,33,28,5,-3,0,8,-1,28,23,5,-2,0,7,-1
Edmonton Oilers,2013/04/04  vs. VAN,VAN,1,34,36,-2,-6,0,4,-10,25,32,-7,-7,0,0,-12
Tampa Bay Lightning,2013/02/01  vs. WPG,WPG,1,25,41,-16,-5,-11,0,-6,20,31,-11,-5,-6,0,-5
New Jersey Devils,2013/03/05  vs. TBL,TBL,1,39,25,14,7,0,7,13,31,20,11,7,0,4,12
New York Islanders,2013/03/19  vs. OTT,OTT,1,30,40,-10,-8,0,-2,-6,23,27,-4,-1,1,-4,0
Phoenix Coyotes,2013/04/24  vs. SJS,SJS,1,43,55,-12,3,-15,0,-4,32,39,-7,-1,-6,0,-3
Pittsburgh Penguins,2013/02/13  vs. OTT,OTT,1,35,52,-17,-9,-4,-4,-13,28,33,-5,-1,0,-4,-4
Colorado Avalanche,2013/04/01  vs. DET,DET,1,27,33,-6,-2,0,-4,-2,21,29,-8,-3,0,-5,-4
Philadelphia Flyers,2013/02/02  vs. CAR,CAR,1,30,63,-33,-4,-29,0,-8,25,45,-20,0,-20,0,-5
San Jose Sharks,2013/03/02  vs. NSH,NSH,1,59,44,15,11,4,0,7,43,22,21,10,11,0,13
Chicago Blackhawks,2013/02/01  vs. VAN,VAN,1,33,25,8,-1,0,9,6,23,19,4,0,0,4,3
Tampa Bay Lightning,2013/01/19  vs. WSH,WSH,1,33,29,4,3,1,0,6,27,27,0,1,-1,0,3
Los Angeles Kings,2013/04/21  vs. DAL,DAL,1,46,32,14,7,4,3,11,36,28,8,4,3,1,6
Ottawa Senators,2013/02/05  vs. BUF,BUF,1,51,33,18,7,11,0,10,32,24,8,3,5,0,4
Columbus Blue Jackets,2013/01/28  vs. DAL,DAL,1,28,33,-5,-4,-5,4,0,20,26,-6,-6,-4,4,-2
Columbus Blue Jackets,2013/03/16  vs. PHX,PHX,1,39,61,-22,-22,0,0,-22,28,42,-14,-14,0,0,-14
Boston Bruins,2013/01/23  vs. NYR,NYR,1,47,38,9,-5,0,14,-1,29,33,-4,-9,0,5,-8
Anaheim Ducks,2013/02/24  vs. COL,COL,1,45,45,0,-4,0,4,4,35,28,7,2,0,5,9
Washington Capitals,2013/02/12  vs. FLA,FLA,1,48,36,12,6,0,6,2,35,28,7,6,1,0,2
New York Rangers,2013/03/18  vs. CAR,CAR,1,59,56,3,-8,0,11,3,45,40,5,-4,0,9,5
Calgary Flames,2013/02/17  vs. DAL,DAL,1,39,46,-7,-2,-5,0,-2,30,34,-4,-2,0,-2,-1
Toronto Maple Leafs,2013/03/30  vs. OTT,OTT,1,32,44,-12,3,-15,0,-3,20,32,-12,2,-14,0,-4
Columbus Blue Jackets,2013/04/07  vs. MIN,MIN,1,36,30,6,4,0,2,6,22,22,0,0,0,0,1
Detroit Red Wings,2013/02/07  vs. STL,STL,1,41,45,-4,0,-4,0,6,34,34,0,2,-2,0,6
New Jersey Devils,2013/02/05  vs. NYR,NYR,1,27,34,-7,-3,-4,0,-2,22,27,-5,-2,-3,0,0
Anaheim Ducks,2013/04/25  vs. VAN,VAN,1,41,47,-6,4,-10,0,4,28,34,-6,4,-10,0,4
New Jersey Devils,2013/01/29  vs. BOS,BOS,1,31,42,-11,-3,-8,0,-1,21,29,-8,0,-8,0,1
Montreal Canadiens,2013/02/06  vs. BOS,BOS,1,40,37,3,0,-4,7,-4,21,27,-6,2,-7,-1,-5
Los Angeles Kings,2013/02/11  vs. STL,STL,1,32,25,7,3,4,0,3,23,20,3,2,1,0,0
Chicago Blackhawks,2013/02/22  vs. SJS,SJS,1,46,38,8,5,3,0,5,34,25,9,2,7,0,2
Nashville Predators,2013/02/09  vs. MIN,MIN,1,21,35,-14,-15,1,0,-14,15,25,-10,-9,-1,0,-10
