Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
Calgary Flames,2013/03/22  @ CBJ,CBJ,1,0,1,0,0,0,1,5,25,28,0,2,0,4,0,100,36,31,53.7
Los Angeles Kings,2013/03/19  vs. PHX,PHX,1,1,0,0,0,2,3,2,29,42,1,5,20,3,0,100,33,24,57.9
Colorado Avalanche,2013/02/18  vs. NSH,NSH,1,1,0,0,0,2,6,5,28,38,1,2,50,5,1,80,39,29,57.4
Edmonton Oilers,2013/03/12  @ COL,COL,1,1,0,0,0,2,4,0,32,35,1,4,25,2,0,100,24,34,41.4
Pittsburgh Penguins,2013/03/10  vs. NYI,NYI,1,1,0,0,0,2,6,1,28,24,2,4,50,3,0,100,39,19,67.2
Phoenix Coyotes,2013/03/21  vs. VAN,VAN,1,0,1,0,0,0,1,2,34,32,1,4,25,4,0,100,35,32,52.2
Philadelphia Flyers,2013/04/03  vs. MTL,MTL,1,1,0,0,0,2,5,3,34,17,0,3,0,3,0,100,31,25,55.4
Boston Bruins,2013/02/17  @ WPG,WPG,1,1,0,0,0,2,3,2,26,24,1,1,100,2,0,100,24,28,46.2
Winnipeg Jets,2013/01/29  @ MTL,MTL,1,0,1,0,0,0,3,4,21,26,1,6,16.7,5,2,60,36,34,51.4
Los Angeles Kings,2013/02/19  @ EDM,EDM,1,1,0,0,0,2,3,1,38,24,0,2,0,4,1,75,33,22,60
St. Louis Blues,2013/04/19  vs. DAL,DAL,1,1,0,0,0,2,2,1,20,22,1,3,33.3,2,0,100,26,29,47.3
Philadelphia Flyers,2013/01/20  @ BUF,BUF,1,0,1,0,0,0,2,5,29,41,1,4,25,6,3,50,31,36,46.3
New York Islanders,2013/04/20  @ WPG,WPG,1,1,0,0,0,2,4,4,33,28,0,5,0,3,1,66.7,35,29,54.7
Philadelphia Flyers,2013/03/31  vs. WSH,WSH,1,1,0,0,0,2,5,4,34,29,1,4,25,7,2,71.4,25,32,43.9
Winnipeg Jets,2013/03/28  @ PIT,PIT,1,0,1,0,0,0,0,4,20,43,0,4,0,0,0,0,19,37,33.9
Minnesota Wild,2013/03/03  vs. EDM,EDM,1,1,0,0,0,2,4,2,43,21,1,3,33.3,1,0,100,30,22,57.7
New York Rangers,2013/04/01  vs. WPG,WPG,1,1,0,0,0,2,4,2,35,28,0,1,0,5,0,100,21,29,42
St. Louis Blues,2013/04/07  @ DET,DET,1,1,0,0,0,2,1,0,25,28,0,2,0,3,0,100,31,25,55.4
Colorado Avalanche,2013/04/19  vs. EDM,EDM,1,0,1,0,0,0,1,4,34,24,0,4,0,4,0,100,41,17,70.7
St. Louis Blues,2013/02/23  vs. CBJ,CBJ,1,1,0,0,0,2,2,1,23,20,0,2,0,4,0,100,21,23,47.7
Detroit Red Wings,2013/03/13  @ CGY,CGY,1,0,1,0,0,0,2,5,38,22,1,2,50,2,1,50,25,24,51
Florida Panthers,2013/03/12  vs. TBL,TBL,1,0,1,0,0,0,2,3,39,13,0,4,0,2,1,50,36,34,51.4
Detroit Red Wings,2013/04/05  @ COL,COL,1,1,0,0,0,2,3,2,31,35,1,4,25,3,0,100,28,26,51.8
Dallas Stars,2013/02/06  @ EDM,EDM,1,1,0,0,0,2,3,2,28,29,1,3,33.3,4,1,75,24,18,57.1
Boston Bruins,2013/03/17  @ PIT,PIT,1,0,1,0,0,0,1,2,32,18,0,2,0,1,0,100,26,23,53.1
Los Angeles Kings,2013/04/13  vs. ANA,ANA,1,1,0,0,0,2,2,1,18,20,1,6,16.7,1,0,100,28,16,63.6
New York Islanders,2013/03/24  vs. FLA,FLA,1,1,0,0,0,2,3,0,37,26,1,2,50,2,0,100,28,30,48.3
Boston Bruins,2013/04/08  vs. CAR,CAR,1,1,0,0,0,2,6,2,36,42,0,2,0,1,0,100,35,39,47.3
Detroit Red Wings,2013/02/27  @ LAK,LAK,1,0,1,0,0,0,1,2,33,29,0,3,0,5,1,80,31,33,48.4
New York Rangers,2013/03/14  @ WPG,WPG,1,0,1,0,0,0,1,3,29,33,0,1,0,2,1,50,33,23,58.9
Winnipeg Jets,2013/04/22  @ BUF,BUF,1,1,0,0,0,2,2,1,39,25,0,3,0,1,1,0,27,29,48.2
Los Angeles Kings,2013/02/07  @ NSH,NSH,1,0,1,0,0,0,0,3,32,14,0,3,0,3,1,66.7,25,33,43.1
Nashville Predators,2013/04/02  vs. COL,COL,1,1,0,0,0,2,3,1,38,26,1,3,33.3,2,0,100,35,25,58.3
Calgary Flames,2013/03/15  vs. NSH,NSH,1,1,0,0,0,2,6,3,22,20,1,3,33.3,2,1,50,26,31,45.6
Minnesota Wild,2013/03/01  @ ANA,ANA,1,0,1,0,0,0,2,3,33,29,0,3,0,1,0,100,32,24,57.1
San Jose Sharks,2013/02/05  vs. CHI,CHI,1,0,1,0,0,0,3,5,33,31,0,3,0,4,0,100,38,34,52.8
Chicago Blackhawks,2013/04/06  @ NSH,NSH,1,1,0,0,0,2,1,0,30,20,0,1,0,3,0,100,29,20,59.2
